--- Terminal: 1 ---
[2026-05-13 08:04:19] Decode batch, #running-req: 24, #full token: 1718005, full token usage: 0.11, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1898.99, #queue-req: 8, 
[2026-05-13 08:04:20] Decode batch, #running-req: 24, #full token: 1719765, full token usage: 0.11, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1900.15, #queue-req: 8, 
[2026-05-13 08:04:21] Decode batch, #running-req: 24, #full token: 1721525, full token usage: 0.11, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1901.02, #queue-req: 8, 
[2026-05-13 08:04:22] Decode batch, #running-req: 24, #full token: 1723285, full token usage: 0.11, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1900.16, #queue-req: 8, 
[2026-05-13 08:04:22] Decode batch, #running-req: 24, #full token: 1725045, full token usage: 0.11, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1900.14, #queue-req: 8, 
[2026-05-13 08:04:23] Decode batch, #running-req: 24, #full token: 1726805, full token usage: 0.11, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1901.33, #queue-req: 8, 
[2026-05-13 08:04:24] Decode batch, #running-req: 24, #full token: 1728565, full token usage: 0.11, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1899.55, #queue-req: 8, 
[2026-05-13 08:04:25] Decode batch, #running-req: 24, #full token: 1730325, full token usage: 0.11, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1901.14, #queue-req: 8, 
[2026-05-13 08:04:26] Decode batch, #running-req: 24, #full token: 1732085, full token usage: 0.11, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1901.02, #queue-req: 8, 
[2026-05-13 08:04:27] Decode batch, #running-req: 24, #full token: 1733845, full token usage: 0.11, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1900.50, #queue-req: 8, 
[2026-05-13 08:04:28] Decode batch, #running-req: 24, #full token: 1735605, full token usage: 0.11, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1897.94, #queue-req: 8, 
[2026-05-13 08:04:29] Decode batch, #running-req: 24, #full token: 1737365, full token usage: 0.11, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1899.92, #queue-req: 8, 
[2026-05-13 08:04:30] Decode batch, #running-req: 24, #full token: 1739125, full token usage: 0.11, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1896.96, #queue-req: 8, 
[2026-05-13 08:04:31] Decode batch, #running-req: 24, #full token: 1740885, full token usage: 0.11, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1897.99, #queue-req: 8, 
[2026-05-13 08:04:32] Decode batch, #running-req: 24, #full token: 1742645, full token usage: 0.11, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1898.76, #queue-req: 8, 
[2026-05-13 08:04:33] Decode batch, #running-req: 24, #full token: 1744405, full token usage: 0.11, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1896.40, #queue-req: 8, 
[2026-05-13 08:04:34] Decode batch, #running-req: 24, #full token: 1746165, full token usage: 0.11, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1896.49, #queue-req: 8, 
[2026-05-13 08:04:35] Decode batch, #running-req: 24, #full token: 1747925, full token usage: 0.11, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1899.10, #queue-req: 8, 
[2026-05-13 08:04:35] Decode batch, #running-req: 24, #full token: 1749685, full token usage: 0.11, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1899.87, #queue-req: 8, 
[2026-05-13 08:04:36] Decode batch, #running-req: 24, #full token: 1751445, full token usage: 0.11, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1900.24, #queue-req: 8, 
[2026-05-13 08:04:37] Decode batch, #running-req: 24, #full token: 1753205, full token usage: 0.11, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1898.15, #queue-req: 8, 
